## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1930e-01  -2.1299e+00   4.9878e-03   1.2687e-04  -2.0292e-05  -1.9911e-04   1.9302e-07   1.9302e-07   3.3999e+08   3.3999e+08
  1.5991e-01   1.6266e-01  -1.8201e+00   4.9831e-03   7.5913e-05  -3.2871e-06  -3.3927e-05   1.4053e-07   1.4053e-07   6.4143e+08   6.4143e+08
  2.1867e-01   2.2328e-01  -1.5034e+00   5.1857e-03   1.0194e-04  -1.6022e-06   7.5444e-05   1.0135e-07   1.0135e-07   1.2331e+09   1.2331e+09
  2.9903e-01   3.0568e-01  -1.1892e+00   5.1682e-03  -1.0434e-04  -1.0784e-05   5.5097e-05   7.4783e-08   7.4783e-08   2.2650e+09   2.2650e+09
  4.0891e-01   4.1635e-01  -8.8022e-01   5.1691e-03  -1.3286e-04  -1.2919e-05  -4.4544e-05   5.5056e-08   5.5056e-08   4.1789e+09   4.1789e+09
  5.5917e-01   5.7029e-01  -5.6557e-01   5.1250e-03   2.3480e-05  -9.6258e-06   2.3356e-05   4.0614e-08   4.0614e-08   7.6794e+09   7.6794e+09
  7.6465e-01   7.7921e-01  -2.5336e-01   5.1493e-03  -5.2989e-05  -1.7837e-05  -2.3562e-05   2.9840e-08   2.9840e-08   1.4226e+10   1.4226e+10
  1.0456e+00   1.0660e+00   6.0037e-02   5.1756e-03  -1.1166e-05  -2.1394e-05  -7.5446e-07   2.2258e-08   2.2258e-08   2.5569e+10   2.5569e+10
  1.4299e+00   1.4595e+00   3.7427e-01   5.1123e-03  -6.7102e-05  -1.9602e-05   3.9677e-05   1.6498e-08   1.6498e-08   4.6538e+10   4.6538e+10
  1.9553e+00   1.9932e+00   6.8597e-01   5.0899e-03  -6.8144e-05  -1.9863e-05   3.6883e-05   1.2217e-08   1.2217e-08   8.4871e+10   8.4871e+10
  2.6738e+00   2.7260e+00   9.9906e-01   5.0493e-03  -6.5207e-05  -2.2291e-05   4.0813e-05   9.0278e-09   9.0278e-09   1.5542e+11   1.5542e+11
  3.6564e+00   3.7284e+00   1.3122e+00   5.0127e-03  -5.4587e-05  -2.8734e-05   4.1518e-05   6.6977e-09   6.6977e-09   2.8238e+11   2.8238e+11
  5.0000e+00   5.0963e+00   1.6247e+00   4.9502e-03  -3.7689e-05  -4.2246e-05   3.1780e-05   4.9648e-09   4.9648e-09   5.1390e+11   5.1390e+11
  6.8373e+00   6.9686e+00   1.9376e+00   4.8527e-03  -2.7124e-05  -5.5166e-05   2.4510e-05   3.6909e-09   3.6909e-09   9.2982e+11   9.2982e+11
  9.3499e+00   9.5437e+00   2.2521e+00   4.7321e-03  -3.1188e-05  -7.7403e-05   3.9069e-05   2.7237e-09   2.7237e-09   1.7075e+12   1.7075e+12
  1.2786e+01   1.3024e+01   2.5630e+00   4.5813e-03   5.9143e-05  -1.1981e-04  -2.5178e-06   2.0291e-09   2.0291e-09   3.0766e+12   3.0766e+12
  1.7484e+01   1.7814e+01   2.8762e+00   4.3496e-03   5.8298e-05  -1.5869e-04   3.6612e-06   1.5329e-09   1.5329e-09   5.3909e+12   5.3909e+12
  2.3909e+01   2.4314e+01   3.1873e+00   4.0886e-03   9.5843e-05  -2.3490e-04   4.0733e-06   1.1691e-09   1.1691e-09   9.2675e+12   9.2675e+12
  3.2695e+01   3.3213e+01   3.4992e+00   3.7686e-03   1.2830e-04  -3.1732e-04   2.1451e-06   9.1177e-10   9.1177e-10   1.5237e+13   1.5237e+13
  4.4709e+01   4.5305e+01   3.8096e+00   3.4387e-03   2.1443e-04  -3.6939e-04   1.6405e-05   7.4033e-10   7.4033e-10   2.3112e+13   2.3112e+13
  6.1138e+01   6.1607e+01   4.1170e+00   3.1169e-03   4.2949e-04  -3.0519e-04   2.4908e-05   6.5107e-10   6.5107e-10   2.9883e+13   2.9883e+13
  8.3604e+01   8.2840e+01   4.4132e+00   3.2516e-03   1.2466e-03  -1.8566e-04  -4.1419e-05   6.9060e-10   6.9060e-10   2.6560e+13   2.6560e+13
  1.1433e+02   1.0692e+02   4.6695e+00   3.7815e-03   2.7151e-03   1.2625e-04   9.3077e-05   1.3773e-09   1.3773e-09   6.6774e+12   6.6774e+12
  1.5634e+02   1.5752e+02   5.0558e+00   1.4760e-04   1.0537e-04  -4.0999e-05   2.2589e-05   2.6351e-09   2.6351e-09   1.8242e+12   1.8242e+12
  2.1379e+02   2.1480e+02   5.3657e+00   2.4084e-04   1.1547e-04  -4.3364e-05   2.2159e-06   2.6578e-09   2.6578e-09   1.7932e+12   1.7932e+12
