## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1930e-01  -2.1301e+00   5.6382e-04  -5.5528e-07  -5.7880e-09   1.6067e-07   1.6282e-07   1.6282e-07   7.4885e+07   7.4885e+07
  1.5991e-01   1.6315e-01  -1.8170e+00   5.6145e-04   1.0128e-07   5.1472e-08   7.4126e-07   1.1933e-07   1.1933e-07   1.3941e+08   1.3941e+08
  2.1867e-01   2.2306e-01  -1.5043e+00   5.6122e-04  -8.3866e-07   3.0944e-07  -4.5820e-07   8.7811e-08   8.7811e-08   2.5748e+08   2.5748e+08
  2.9903e-01   3.0506e-01  -1.1912e+00   5.6112e-04  -1.9227e-07   4.4897e-07  -9.7667e-09   6.4486e-08   6.4486e-08   4.7742e+08   4.7742e+08
  4.0891e-01   4.1714e-01  -8.7818e-01   5.5990e-04  -1.1514e-07   6.4847e-07   2.1777e-07   4.7305e-08   4.7305e-08   8.8719e+08   8.8719e+08
  5.5917e-01   5.7037e-01  -5.6527e-01   5.5755e-04  -4.4115e-07   9.8444e-07  -1.1315e-07   3.4692e-08   3.4692e-08   1.6496e+09   1.6496e+09
  7.6465e-01   7.7990e-01  -2.5234e-01   5.5438e-04  -2.2785e-07   1.2472e-06  -1.7374e-07   2.5469e-08   2.5469e-08   3.0606e+09   3.0606e+09
  1.0456e+00   1.0664e+00   6.0590e-02   5.5032e-04  -5.0469e-07   1.6647e-06  -3.3372e-07   1.8703e-08   1.8703e-08   5.6759e+09   5.6759e+09
  1.4299e+00   1.4583e+00   3.7353e-01   5.4641e-04  -6.1572e-07   2.3229e-06  -6.9544e-07   1.3747e-08   1.3747e-08   1.0505e+10   1.0505e+10
  1.9553e+00   1.9941e+00   6.8647e-01   5.4285e-04  -7.2229e-07   3.2680e-06  -6.3466e-07   1.0111e-08   1.0111e-08   1.9420e+10   1.9420e+10
  2.6738e+00   2.7269e+00   9.9944e-01   5.3768e-04  -6.2002e-07   4.6761e-06  -7.2029e-07   7.4361e-09   7.4361e-09   3.5904e+10   3.5904e+10
  3.6564e+00   3.7288e+00   1.3124e+00   5.3007e-04  -5.0462e-07   6.3124e-06  -5.4706e-07   5.4700e-09   5.4700e-09   6.6354e+10   6.6354e+10
  5.0000e+00   5.0987e+00   1.6253e+00   5.1829e-04  -9.7310e-08   8.3859e-06  -4.0846e-07   4.0287e-09   4.0287e-09   1.2232e+11   1.2232e+11
  6.8373e+00   6.9717e+00   1.9381e+00   5.0253e-04   1.2352e-07   1.0675e-05  -2.9450e-07   2.9716e-09   2.9716e-09   2.2483e+11   2.2483e+11
  9.3499e+00   9.5367e+00   2.2514e+00   4.8276e-04   3.3620e-07   1.2830e-05  -3.8016e-07   2.1875e-09   2.1875e-09   4.1489e+11   4.1489e+11
  1.2786e+01   1.3031e+01   2.5636e+00   4.5621e-04   1.9958e-06   1.4758e-05   4.9785e-07   1.6200e-09   1.6200e-09   7.5654e+11   7.5654e+11
  1.7484e+01   1.7819e+01   2.8765e+00   4.1617e-04   3.2904e-06   1.7592e-05   1.2585e-06   1.2094e-09   1.2094e-09   1.3573e+12   1.3573e+12
  2.3909e+01   2.4346e+01   3.1886e+00   3.6368e-04   4.7311e-06   2.1002e-05   2.7373e-06   9.0902e-10   9.0902e-10   2.4026e+12   2.4026e+12
  3.2695e+01   3.3269e+01   3.5009e+00   3.0407e-04   8.7023e-06   2.4941e-05   4.9911e-06   6.9225e-10   6.9225e-10   4.1430e+12   4.1430e+12
  4.4709e+01   4.5439e+01   3.8126e+00   2.5004e-04   1.1419e-05   2.4403e-05   7.0135e-06   5.3840e-10   5.3840e-10   6.8490e+12   6.8490e+12
  6.1138e+01   6.2028e+01   4.1238e+00   2.1708e-04   8.5919e-06   9.4947e-06   4.4540e-06   4.3172e-10   4.3172e-10   1.0652e+13   1.0652e+13
  8.3604e+01   8.4644e+01   4.4346e+00   2.2938e-04   1.1734e-05  -7.2159e-06  -6.5697e-06   3.5988e-10   3.5988e-10   1.5329e+13   1.5329e+13
  1.1433e+02   1.1621e+02   4.7515e+00   2.0636e-04  -3.0360e-06   2.1232e-05  -1.7791e-06   2.9863e-10   2.9863e-10   2.2262e+13   2.2262e+13
  1.5634e+02   1.5882e+02   5.0640e+00   1.3817e-04  -4.5148e-06  -1.2126e-06   4.5999e-06   2.3222e-10   2.3222e-10   3.6815e+13   3.6815e+13
  2.1379e+02   2.1683e+02   5.3753e+00   1.3809e-04  -3.1803e-06  -1.3839e-06   3.3068e-06   1.9020e-10   1.9020e-10   5.4882e+13   5.4882e+13
