## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1946e-01  -2.1287e+00   1.1032e-05   3.7315e-06   2.6173e-07   3.0881e-07   2.8120e-07   2.8120e-07   2.3981e+07   2.3981e+07
  1.5991e-01   1.6318e-01  -1.8169e+00   8.9858e-06   1.0553e-06   5.9731e-07  -5.3170e-07   2.0475e-07   2.0475e-07   4.5235e+07   4.5235e+07
  2.1867e-01   2.2302e-01  -1.5045e+00   7.6226e-06   4.4859e-07   1.6520e-07  -4.3046e-07   1.5033e-07   1.5033e-07   8.3915e+07   8.3915e+07
  2.9903e-01   3.0502e-01  -1.1913e+00   6.9137e-06  -1.7080e-07  -1.8510e-07  -4.7647e-07   1.1052e-07   1.1052e-07   1.5524e+08   1.5524e+08
  4.0891e-01   4.1709e-01  -8.7836e-01   6.3059e-06   1.2583e-08   1.5882e-07  -4.1644e-08   8.1199e-08   8.1199e-08   2.8761e+08   2.8761e+08
  5.5917e-01   5.7033e-01  -5.6538e-01   5.9447e-06   5.4437e-08  -9.6688e-08   6.3514e-08   5.9696e-08   5.9696e-08   5.3212e+08   5.3212e+08
  7.6465e-01   7.7981e-01  -2.5249e-01   5.2982e-06   3.2204e-08   1.8029e-08   6.8074e-09   4.3925e-08   4.3925e-08   9.8283e+08   9.8283e+08
  1.0456e+00   1.0662e+00   6.0389e-02   4.7202e-06  -9.0444e-10  -3.6870e-08   3.5524e-08   3.2381e-08   3.2381e-08   1.8086e+09   1.8086e+09
  1.4299e+00   1.4580e+00   3.7334e-01   4.0883e-06  -2.8281e-08  -6.6542e-09  -6.3700e-08   2.3893e-08   2.3893e-08   3.3217e+09   3.3217e+09
  1.9553e+00   1.9938e+00   6.8632e-01   3.2575e-06  -8.1981e-09  -6.8681e-09   6.1011e-09   1.7626e-08   1.7626e-08   6.1040e+09   6.1040e+09
  2.6738e+00   2.7265e+00   9.9930e-01   2.4437e-06   5.0569e-08  -1.5564e-08  -8.7487e-09   1.3000e-08   1.3000e-08   1.1221e+10   1.1221e+10
  3.6564e+00   3.7283e+00   1.3122e+00   1.6500e-06   8.1653e-08  -8.0798e-10  -2.5097e-08   9.5877e-09   9.5877e-09   2.0629e+10   2.0629e+10
  5.0000e+00   5.0981e+00   1.6251e+00   1.1971e-06   1.4295e-07  -1.4636e-08   4.1955e-09   7.0789e-09   7.0789e-09   3.7842e+10   3.7842e+10
  6.8373e+00   6.9709e+00   1.9380e+00   1.1796e-06   1.3046e-07   2.0380e-08  -9.9351e-10   5.2325e-09   5.2325e-09   6.9261e+10   6.9261e+10
  9.3499e+00   9.5398e+00   2.2518e+00   1.2804e-06   6.1332e-08   2.4250e-08  -1.0012e-08   3.8466e-09   3.8466e-09   1.2816e+11   1.2816e+11
  1.2786e+01   1.3030e+01   2.5635e+00   1.1775e-06   3.4771e-09  -1.0886e-08  -8.1191e-09   2.8465e-09   2.8465e-09   2.3403e+11   2.3403e+11
  1.7484e+01   1.7823e+01   2.8767e+00   9.5935e-07  -3.4182e-09  -7.1160e-10  -2.4162e-08   2.1235e-09   2.1235e-09   4.2052e+11   4.2052e+11
  2.3909e+01   2.4347e+01   3.1886e+00   8.3844e-07   1.1851e-08  -9.9719e-09   2.1183e-09   1.5916e-09   1.5916e-09   7.4860e+11   7.4860e+11
  3.2695e+01   3.3278e+01   3.5011e+00   7.2348e-07   9.9214e-09  -3.2475e-08  -2.0758e-09   1.2058e-09   1.2058e-09   1.3042e+12   1.3042e+12
  4.4709e+01   4.5462e+01   3.8131e+00   6.5719e-07   1.1324e-08  -5.8552e-08   3.5074e-09   9.3009e-10   9.3009e-10   2.1921e+12   2.1921e+12
  6.1138e+01   6.2070e+01   4.1245e+00   6.0390e-07   5.7851e-09  -6.4442e-08   1.2966e-08   7.3764e-10   7.3764e-10   3.4851e+12   3.4851e+12
  8.3604e+01   8.4705e+01   4.4354e+00   6.3029e-07   1.6642e-08  -4.4021e-08   3.8552e-09   6.0585e-10   6.0585e-10   5.1662e+12   5.1662e+12
  1.1433e+02   1.1608e+02   4.7504e+00   6.4768e-07   2.4260e-08  -2.8449e-08  -2.1699e-09   5.0275e-10   5.0275e-10   7.5025e+12   7.5025e+12
  1.5634e+02   1.5915e+02   5.0660e+00   5.7427e-07   1.9668e-08  -3.6276e-08  -2.2127e-09   3.8875e-10   3.8875e-10   1.2548e+13   1.2548e+13
  2.1379e+02   2.1742e+02   5.3780e+00   5.6824e-07   1.5641e-08  -3.4337e-08  -2.7330e-09   3.0030e-10   3.0030e-10   2.1027e+13   2.1027e+13
