## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1930e-01  -2.1301e+00   6.1719e-06  -7.9545e-08   2.9198e-06  -8.7614e-07   1.7038e-07   1.7038e-07   7.4188e+07   7.4188e+07
  1.5991e-01   1.6316e-01  -1.8170e+00   6.1479e-06  -2.1224e-07   2.7815e-06  -2.9424e-08   1.2471e-07   1.2471e-07   1.3848e+08   1.3848e+08
  2.1867e-01   2.2309e-01  -1.5041e+00   7.2329e-06   7.5021e-08   2.3305e-06   3.0103e-07   9.1520e-08   9.1520e-08   2.5711e+08   2.5711e+08
  2.9903e-01   3.0506e-01  -1.1912e+00   7.0986e-06  -1.1809e-07   2.5144e-06  -8.1124e-08   6.7233e-08   6.7233e-08   4.7641e+08   4.7641e+08
  4.0891e-01   4.1714e-01  -8.7821e-01   7.4390e-06   1.3749e-07   2.6858e-06  -2.9332e-08   4.9338e-08   4.9338e-08   8.8469e+08   8.8469e+08
  5.5917e-01   5.7040e-01  -5.6525e-01   7.6740e-06   2.1745e-07   2.4767e-06  -5.5480e-08   3.6191e-08   3.6191e-08   1.6442e+09   1.6442e+09
  7.6465e-01   7.7990e-01  -2.5236e-01   7.7140e-06   1.6773e-08   2.4436e-06   1.9465e-08   2.6588e-08   2.6588e-08   3.0463e+09   3.0463e+09
  1.0456e+00   1.0664e+00   6.0527e-02   7.7174e-06   1.0196e-07   2.4508e-06   8.8394e-08   1.9546e-08   1.9546e-08   5.6366e+09   5.6366e+09
  1.4299e+00   1.4581e+00   3.7340e-01   7.7318e-06   3.6191e-08   2.5418e-06  -3.9595e-08   1.4400e-08   1.4400e-08   1.0385e+10   1.0385e+10
  1.9553e+00   1.9938e+00   6.8632e-01   7.6891e-06   2.9475e-08   2.5580e-06   6.9695e-09   1.0618e-08   1.0618e-08   1.9101e+10   1.9101e+10
  2.6738e+00   2.7266e+00   9.9934e-01   7.5270e-06   6.3049e-08   2.6428e-06   4.5118e-08   7.8277e-09   7.8277e-09   3.5146e+10   3.5146e+10
  3.6564e+00   3.7283e+00   1.3122e+00   7.2560e-06   4.9542e-08   2.7070e-06  -1.7724e-08   5.7695e-09   5.7695e-09   6.4695e+10   6.4695e+10
  5.0000e+00   5.0980e+00   1.6251e+00   6.7180e-06   4.4543e-09   2.8337e-06  -1.4219e-08   4.2611e-09   4.2611e-09   1.1861e+11   1.1861e+11
  6.8373e+00   6.9706e+00   1.9380e+00   5.9621e-06  -2.3441e-08   3.0394e-06  -4.9837e-08   3.1515e-09   3.1515e-09   2.1683e+11   2.1683e+11
  9.3499e+00   9.5373e+00   2.2515e+00   5.4193e-06  -1.2423e-08   3.1219e-06  -9.0693e-08   2.3219e-09   2.3219e-09   3.9945e+11   3.9945e+11
  1.2786e+01   1.3028e+01   2.5633e+00   5.1358e-06  -1.1734e-08   3.0242e-06  -7.9017e-08   1.7240e-09   1.7240e-09   7.2460e+11   7.2460e+11
  1.7484e+01   1.7817e+01   2.8764e+00   4.4845e-06   2.5540e-08   2.8842e-06   4.6195e-09   1.2928e-09   1.2928e-09   1.2886e+12   1.2886e+12
  2.3909e+01   2.4338e+01   3.1883e+00   3.2763e-06   3.0289e-08   2.6941e-06  -5.9462e-08   9.7524e-10   9.7524e-10   2.2643e+12   2.2643e+12
  3.2695e+01   3.3259e+01   3.5006e+00   2.2119e-06  -1.9411e-08   2.3636e-06  -2.0337e-07   7.4591e-10   7.4591e-10   3.8706e+12   3.8706e+12
  4.4709e+01   4.5425e+01   3.8123e+00   1.6000e-06  -1.0393e-07   2.0693e-06  -2.6148e-07   5.8330e-10   5.8330e-10   6.3295e+12   6.3295e+12
  6.1138e+01   6.2005e+01   4.1234e+00   1.8488e-06  -3.3009e-07   2.0319e-06  -1.3781e-07   4.7116e-10   4.7116e-10   9.7010e+12   9.7010e+12
  8.3604e+01   8.4659e+01   4.4348e+00   1.6469e-06  -7.1500e-07   2.1579e-06   4.7498e-07   3.9389e-10   3.9389e-10   1.3880e+13   1.3880e+13
  1.1433e+02   1.1650e+02   4.7540e+00   1.9082e-06   5.9055e-07   2.3520e-06  -2.1751e-07   3.1905e-10   3.1905e-10   2.1156e+13   2.1156e+13
  1.5634e+02   1.5884e+02   5.0641e+00   6.7861e-07   1.7099e-07   2.2859e-06  -1.2283e-07   2.4141e-10   2.4141e-10   3.6953e+13   3.6953e+13
  2.1379e+02   2.1692e+02   5.3756e+00   5.9606e-07  -1.6680e-07   2.0366e-06  -2.9330e-08   1.9870e-10   1.9870e-10   5.4544e+13   5.4544e+13
