## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1932e-01  -2.1297e+00   4.8534e-03   1.1833e-04  -2.2113e-05  -1.9241e-04   1.9477e-07   1.9477e-07   3.1079e+08   3.1079e+08
  1.5991e-01   1.6264e-01  -1.8202e+00   4.8501e-03   6.7978e-05  -7.0774e-06  -2.4256e-05   1.4174e-07   1.4174e-07   5.8684e+08   5.8684e+08
  2.1867e-01   2.2327e-01  -1.5034e+00   5.0519e-03   9.5313e-05  -4.4426e-06   7.4308e-05   1.0227e-07   1.0227e-07   1.1272e+09   1.1272e+09
  2.9903e-01   3.0568e-01  -1.1892e+00   5.0331e-03  -1.0159e-04  -8.8729e-06   5.3225e-05   7.5483e-08   7.5483e-08   2.0692e+09   2.0692e+09
  4.0891e-01   4.1634e-01  -8.8024e-01   5.0331e-03  -1.2868e-04  -1.1966e-05  -4.4237e-05   5.5570e-08   5.5570e-08   3.8180e+09   3.8180e+09
  5.5917e-01   5.7029e-01  -5.6557e-01   4.9887e-03   2.1693e-05  -6.9928e-06   2.5420e-05   4.0998e-08   4.0998e-08   7.0145e+09   7.0145e+09
  7.6465e-01   7.7920e-01  -2.5337e-01   5.0132e-03  -5.2970e-05  -1.3547e-05  -2.3557e-05   3.0123e-08   3.0123e-08   1.2993e+10   1.2993e+10
  1.0456e+00   1.0660e+00   6.0028e-02   5.0369e-03  -1.1057e-05  -1.8393e-05  -6.7368e-07   2.2477e-08   2.2477e-08   2.3337e+10   2.3337e+10
  1.4299e+00   1.4595e+00   3.7426e-01   4.9727e-03  -6.6501e-05  -1.7739e-05   3.6922e-05   1.6661e-08   1.6661e-08   4.2471e+10   4.2471e+10
  1.9553e+00   1.9932e+00   6.8597e-01   4.9502e-03  -6.8103e-05  -1.7573e-05   3.5511e-05   1.2337e-08   1.2337e-08   7.7461e+10   7.7461e+10
  2.6738e+00   2.7260e+00   9.9906e-01   4.9100e-03  -6.4492e-05  -2.2088e-05   3.8501e-05   9.1166e-09   9.1166e-09   1.4186e+11   1.4186e+11
  3.6564e+00   3.7284e+00   1.3122e+00   4.8730e-03  -5.3357e-05  -2.7972e-05   3.8463e-05   6.7635e-09   6.7635e-09   2.5774e+11   2.5774e+11
  5.0000e+00   5.0963e+00   1.6247e+00   4.8086e-03  -3.6739e-05  -4.0277e-05   2.9335e-05   5.0136e-09   5.0136e-09   4.6906e+11   4.6906e+11
  6.8373e+00   6.9686e+00   1.9376e+00   4.7102e-03  -2.6529e-05  -5.3034e-05   2.3057e-05   3.7270e-09   3.7270e-09   8.4876e+11   8.4876e+11
  9.3499e+00   9.5437e+00   2.2521e+00   4.5885e-03  -3.0357e-05  -7.4801e-05   3.6493e-05   2.7503e-09   2.7503e-09   1.5587e+12   1.5587e+12
  1.2786e+01   1.3024e+01   2.5630e+00   4.4363e-03   5.7941e-05  -1.1596e-04  -1.1094e-06   2.0490e-09   2.0490e-09   2.8083e+12   2.8083e+12
  1.7484e+01   1.7814e+01   2.8762e+00   4.2017e-03   5.7835e-05  -1.5400e-04   4.8191e-06   1.5479e-09   1.5479e-09   4.9206e+12   4.9206e+12
  2.3909e+01   2.4314e+01   3.1873e+00   3.9380e-03   9.5976e-05  -2.3009e-04   4.8034e-06   1.1806e-09   1.1806e-09   8.4584e+12   8.4584e+12
  3.2695e+01   3.3213e+01   3.4992e+00   3.6152e-03   1.3069e-04  -3.1535e-04   2.2691e-06   9.2079e-10   9.2079e-10   1.3906e+13   1.3906e+13
  4.4709e+01   4.5305e+01   3.8096e+00   3.2812e-03   2.1921e-04  -3.6887e-04   1.5843e-05   7.4771e-10   7.4771e-10   2.1089e+13   2.1089e+13
  6.1138e+01   6.1606e+01   4.1170e+00   2.9560e-03   4.3757e-04  -3.0144e-04   2.3429e-05   6.5767e-10   6.5767e-10   2.7258e+13   2.7258e+13
  8.3604e+01   8.2835e+01   4.4132e+00   3.0980e-03   1.2630e-03  -1.6815e-04  -4.2199e-05   6.9797e-10   6.9797e-10   2.4201e+13   2.4201e+13
  1.1433e+02   1.0679e+02   4.6684e+00   3.7100e-03   2.7655e-03   1.6294e-04   9.6257e-05   1.4002e-09   1.4002e-09   6.0134e+12   6.0134e+12
  1.5634e+02   1.5753e+02   5.0558e+00   1.3316e-04   8.3532e-05  -4.2597e-05   1.6036e-05   2.7548e-09   2.7548e-09   1.5535e+12   1.5535e+12
  2.1379e+02   2.1487e+02   5.3660e+00   2.5229e-04   1.1262e-04  -5.9633e-05  -1.5093e-05   2.7764e-09   2.7764e-09   1.5295e+12   1.5295e+12
