## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1929e-01  -2.1301e+00   7.1501e-06   3.9498e-07  -4.6399e-07   2.8270e-07   1.9247e-07   1.9247e-07   7.0904e+07   7.0904e+07
  1.5991e-01   1.6316e-01  -1.8170e+00   5.9320e-06   5.1421e-07   1.1160e-07   3.0386e-07   1.4111e-07   1.4111e-07   1.3190e+08   1.3190e+08
  2.1867e-01   2.2306e-01  -1.5043e+00   5.5592e-06   1.5962e-07   1.0086e-07   7.9357e-08   1.0383e-07   1.0383e-07   2.4366e+08   2.4366e+08
  2.9903e-01   3.0506e-01  -1.1912e+00   5.0506e-06  -9.7597e-09  -3.9321e-08  -5.5156e-08   7.6250e-08   7.6250e-08   4.5176e+08   4.5176e+08
  4.0891e-01   4.1715e-01  -8.7817e-01   4.9592e-06   1.7092e-07   1.1884e-07   5.6047e-08   5.5937e-08   5.5937e-08   8.3946e+08   8.3946e+08
  5.5917e-01   5.7036e-01  -5.6528e-01   4.5525e-06   1.1148e-08   3.2948e-08   2.2869e-08   4.1023e-08   4.1023e-08   1.5607e+09   1.5607e+09
  7.6465e-01   7.7990e-01  -2.5234e-01   4.1614e-06   3.6609e-08  -8.1375e-08   6.1533e-08   3.0116e-08   3.0116e-08   2.8960e+09   2.8960e+09
  1.0456e+00   1.0664e+00   6.0589e-02   3.7317e-06  -1.0091e-09  -2.9952e-08  -5.4643e-08   2.2115e-08   2.2115e-08   5.3707e+09   5.3707e+09
  1.4299e+00   1.4582e+00   3.7352e-01   3.2682e-06   5.3138e-08  -7.4321e-08  -1.2150e-08   1.6256e-08   1.6256e-08   9.9396e+09   9.9396e+09
  1.9553e+00   1.9941e+00   6.8646e-01   2.6753e-06   1.6904e-08  -6.8005e-08   5.0425e-08   1.1957e-08   1.1957e-08   1.8373e+10   1.8373e+10
  2.6738e+00   2.7269e+00   9.9944e-01   2.0661e-06   4.8328e-08  -6.9089e-08   7.1700e-09   8.7941e-09   8.7941e-09   3.3963e+10   3.3963e+10
  3.6564e+00   3.7288e+00   1.3124e+00   1.4754e-06   7.3130e-08  -4.3299e-08  -3.8253e-09   6.4692e-09   6.4692e-09   6.2760e+10   6.2760e+10
  5.0000e+00   5.0987e+00   1.6253e+00   1.1009e-06   1.2075e-07  -3.3303e-08  -5.8785e-09   4.7651e-09   4.7651e-09   1.1568e+11   1.1568e+11
  6.8373e+00   6.9716e+00   1.9381e+00   1.0045e-06   9.3053e-08  -5.4089e-09   8.2749e-09   3.5151e-09   3.5151e-09   2.1257e+11   2.1257e+11
  9.3499e+00   9.5366e+00   2.2514e+00   1.0346e-06   4.0357e-08  -1.4340e-08  -4.1707e-09   2.5878e-09   2.5878e-09   3.9222e+11   3.9222e+11
  1.2786e+01   1.3031e+01   2.5636e+00   9.4516e-07   4.7523e-10  -1.1470e-08  -1.1828e-08   1.9167e-09   1.9167e-09   7.1497e+11   7.1497e+11
  1.7484e+01   1.7818e+01   2.8765e+00   7.5736e-07   2.1709e-09  -3.1729e-09  -8.0787e-09   1.4313e-09   1.4313e-09   1.2820e+12   1.2820e+12
  2.3909e+01   2.4345e+01   3.1886e+00   5.9876e-07  -1.7228e-09   4.3825e-09   3.7447e-09   1.0762e-09   1.0762e-09   2.2676e+12   2.2676e+12
  3.2695e+01   3.3268e+01   3.5008e+00   4.6309e-07  -5.8736e-09   2.4079e-08   8.9594e-10   8.2013e-10   8.2013e-10   3.9050e+12   3.9050e+12
  4.4709e+01   4.5437e+01   3.8125e+00   3.5808e-07  -3.6791e-09   4.8195e-08   9.2719e-09   6.3842e-10   6.3842e-10   6.4444e+12   6.4444e+12
  6.1138e+01   6.2024e+01   4.1237e+00   3.1845e-07   8.6809e-09   4.2679e-08   2.7651e-08   5.1253e-10   5.1253e-10   9.9989e+12   9.9989e+12
  8.3604e+01   8.4639e+01   4.4346e+00   3.3973e-07   2.1278e-09  -1.1055e-08   4.1352e-08   4.2782e-10   4.2782e-10   1.4351e+13   1.4351e+13
  1.1433e+02   1.1623e+02   4.7517e+00   3.4004e-07  -5.0416e-09   9.3736e-10   2.6004e-09   3.5475e-10   3.5475e-10   2.0872e+13   2.0872e+13
  1.5634e+02   1.5882e+02   5.0640e+00   2.3449e-07  -5.7897e-09   1.4241e-08  -1.1442e-08   2.7539e-10   2.7539e-10   3.4634e+13   3.4634e+13
  2.1379e+02   2.1684e+02   5.3753e+00   2.5996e-07   7.6341e-09   4.1900e-08   1.3880e-08   2.2574e-10   2.2574e-10   5.1545e+13   5.1545e+13
