## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1941e-01  -2.1292e+00   1.1939e-05   7.3790e-07   3.5169e-07   8.8990e-07   5.6194e-07   5.6194e-07   1.8495e+06   1.8495e+06
  1.5991e-01   1.6313e-01  -1.8172e+00   1.1982e-05   2.7863e-08  -8.1249e-08  -7.4609e-07   4.0961e-07   4.0961e-07   3.4808e+06   3.4808e+06
  2.1867e-01   2.2306e-01  -1.5043e+00   1.2287e-05   8.0352e-07  -3.7679e-08   3.2816e-07   3.0175e-07   3.0175e-07   6.4142e+06   6.4142e+06
  2.9903e-01   3.0501e-01  -1.1913e+00   1.1389e-05  -6.9370e-08  -5.5256e-09   3.4064e-07   2.2226e-07   2.2226e-07   1.1823e+07   1.1823e+07
  4.0891e-01   4.1707e-01  -8.7835e-01   1.1248e-05   7.2487e-08  -6.0091e-08   1.6641e-07   1.6370e-07   1.6370e-07   2.1792e+07   2.1792e+07
  5.5917e-01   5.7017e-01  -5.6559e-01   1.0426e-05   9.3677e-09  -7.1117e-08   6.0747e-08   1.2055e-07   1.2055e-07   4.0187e+07   4.0187e+07
  7.6465e-01   7.7953e-01  -2.5276e-01   9.3636e-06   1.8900e-07   9.1761e-08  -1.5588e-07   8.8936e-08   8.8936e-08   7.3836e+07   7.3836e+07
  1.0456e+00   1.0659e+00   6.0125e-02   8.4282e-06   1.9826e-08   7.5722e-08   1.4393e-07   6.5812e-08   6.5812e-08   1.3484e+08   1.3484e+08
  1.4299e+00   1.4577e+00   3.7322e-01   7.0171e-06   4.4372e-08   1.7633e-08   6.8082e-08   4.8680e-08   4.8680e-08   2.4645e+08   2.4645e+08
  1.9553e+00   1.9936e+00   6.8630e-01   5.4335e-06   6.8678e-08  -4.7040e-08  -3.2395e-08   3.5927e-08   3.5927e-08   4.5246e+08   4.5246e+08
  2.6738e+00   2.7261e+00   9.9927e-01   3.9137e-06   7.5265e-08   4.5139e-09  -2.5174e-09   2.6512e-08   2.6512e-08   8.3090e+08   8.3090e+08
  3.6564e+00   3.7279e+00   1.3122e+00   2.6228e-06   1.4482e-07  -2.8171e-09  -1.1755e-08   1.9579e-08   1.9579e-08   1.5236e+09   1.5236e+09
  5.0000e+00   5.0975e+00   1.6251e+00   1.9430e-06   2.2031e-07   3.5168e-08  -1.3456e-08   1.4471e-08   1.4471e-08   2.7888e+09   2.7888e+09
  6.8373e+00   6.9701e+00   1.9380e+00   1.8958e-06   2.1140e-07   7.5069e-08   2.7637e-08   1.0719e-08   1.0719e-08   5.0833e+09   5.0833e+09
  9.3499e+00   9.5406e+00   2.2519e+00   2.0607e-06   1.3770e-07   1.1705e-07   8.9341e-09   7.8892e-09   7.8892e-09   9.3835e+09   9.3835e+09
  1.2786e+01   1.3027e+01   2.5633e+00   1.8363e-06   5.5699e-08   8.8711e-08   3.0849e-08   5.8591e-09   5.8591e-09   1.7012e+10   1.7012e+10
  1.7484e+01   1.7819e+01   2.8765e+00   1.2869e-06   2.2830e-08   1.0037e-07   3.0338e-08   4.3961e-09   4.3961e-09   3.0220e+10   3.0220e+10
  2.3909e+01   2.4332e+01   3.1881e+00   8.8278e-07   6.6857e-08   8.5248e-08   3.2416e-08   3.3228e-09   3.3228e-09   5.2895e+10   5.2895e+10
  3.2695e+01   3.3248e+01   3.5003e+00   5.0804e-07   6.7294e-08   6.0228e-08   4.0563e-08   2.5529e-09   2.5529e-09   8.9609e+10   8.9609e+10
  4.4709e+01   4.5393e+01   3.8116e+00   2.8776e-07   6.6025e-08   9.3635e-09   4.1799e-08   2.0159e-09   2.0159e-09   1.4370e+11   1.4370e+11
  6.1138e+01   6.1909e+01   4.1219e+00   2.4640e-07   4.9386e-08  -2.9514e-08   2.9021e-08   1.6633e-09   1.6633e-09   2.1109e+11   2.1109e+11
  8.3604e+01   8.4252e+01   4.4300e+00   3.6212e-07   8.4018e-08  -1.3012e-08  -2.1777e-08   1.4754e-09   1.4754e-09   2.6828e+11   2.6828e+11
  1.1433e+02   1.1577e+02   4.7477e+00   1.7319e-07   6.6988e-08   2.7717e-08  -4.8252e-08   1.3573e-09   1.3573e-09   3.1700e+11   3.1700e+11
  1.5634e+02   1.5935e+02   5.0674e+00   8.7590e-08   1.3544e-09  -8.2796e-09   1.7340e-08   1.0405e-09   1.0405e-09   5.3942e+11   5.3942e+11
  2.1379e+02   2.1755e+02   5.3786e+00   9.8160e-08   2.9116e-08   4.9631e-09   1.5735e-08   7.9212e-10   7.9212e-10   9.3078e+11   9.3078e+11
