## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1942e-01  -2.1291e+00   1.3977e-05   4.9692e-06  -2.8195e-07  -6.3099e-08   3.4481e-07   3.4481e-07   1.6419e+07   1.6419e+07
  1.5991e-01   1.6317e-01  -1.8170e+00   1.1130e-05   1.5596e-06   4.9425e-07  -7.9787e-07   2.5176e-07   2.5176e-07   3.0800e+07   3.0800e+07
  2.1867e-01   2.2301e-01  -1.5045e+00   9.5348e-06   6.2555e-07  -8.9024e-08  -2.6396e-07   1.8488e-07   1.8488e-07   5.7116e+07   5.7116e+07
  2.9903e-01   3.0499e-01  -1.1914e+00   8.6433e-06  -1.7664e-07  -2.1592e-07  -4.2976e-07   1.3589e-07   1.3589e-07   1.0573e+08   1.0573e+08
  4.0891e-01   4.1710e-01  -8.7832e-01   7.8770e-06   1.2458e-07   7.0144e-08   1.1563e-07   9.9878e-08   9.9878e-08   1.9570e+08   1.9570e+08
  5.5917e-01   5.7032e-01  -5.6538e-01   7.2016e-06   7.9780e-08   1.1485e-08   1.1006e-07   7.3451e-08   7.3451e-08   3.6185e+08   3.6185e+08
  7.6465e-01   7.7978e-01  -2.5252e-01   6.4625e-06   1.1952e-07   9.9959e-08   8.9282e-09   5.4099e-08   5.4099e-08   6.6704e+08   6.6704e+08
  1.0456e+00   1.0662e+00   6.0343e-02   5.7485e-06  -4.1543e-08  -1.0473e-07  -1.8999e-08   3.9907e-08   3.9907e-08   1.2258e+09   1.2258e+09
  1.4299e+00   1.4579e+00   3.7331e-01   4.9723e-06  -5.1157e-09  -3.3121e-08  -9.9111e-08   2.9471e-08   2.9471e-08   2.2477e+09   2.2477e+09
  1.9553e+00   1.9937e+00   6.8630e-01   3.9854e-06  -1.7383e-08   7.3988e-09   9.8073e-09   2.1749e-08   2.1749e-08   4.1272e+09   4.1272e+09
  2.6738e+00   2.7264e+00   9.9928e-01   2.9770e-06   4.7781e-08  -3.2125e-08  -1.1884e-08   1.6047e-08   1.6047e-08   7.5809e+09   7.5809e+09
  3.6564e+00   3.7281e+00   1.3122e+00   2.0354e-06   9.1015e-08  -1.1352e-08  -2.0421e-08   1.1840e-08   1.1840e-08   1.3925e+10   1.3925e+10
  5.0000e+00   5.0978e+00   1.6251e+00   1.4857e-06   1.6148e-07  -2.2996e-08  -1.4908e-09   8.7496e-09   8.7496e-09   2.5501e+10   2.5501e+10
  6.8373e+00   6.9706e+00   1.9380e+00   1.4507e-06   1.5969e-07   3.0284e-08   2.8749e-09   6.4721e-09   6.4721e-09   4.6605e+10   4.6605e+10
  9.3499e+00   9.5400e+00   2.2518e+00   1.5616e-06   7.9178e-08   2.8095e-08  -6.5702e-09   4.7602e-09   4.7602e-09   8.6153e+10   8.6153e+10
  1.2786e+01   1.3029e+01   2.5634e+00   1.4288e-06   6.6353e-09   6.0254e-10  -8.3161e-09   3.5264e-09   3.5264e-09   1.5699e+11   1.5699e+11
  1.7484e+01   1.7822e+01   2.8767e+00   1.1597e-06  -2.1581e-10   9.3754e-09  -3.0386e-08   2.6352e-09   2.6352e-09   2.8113e+11   2.8113e+11
  2.3909e+01   2.4343e+01   3.1885e+00   1.0086e-06   1.6327e-08  -2.1207e-09   7.3604e-09   1.9790e-09   1.9790e-09   4.9848e+11   4.9848e+11
  3.2695e+01   3.3272e+01   3.5010e+00   8.6687e-07   1.2980e-08  -2.7395e-08  -1.1064e-09   1.5035e-09   1.5035e-09   8.6358e+11   8.6358e+11
  4.4709e+01   4.5451e+01   3.8128e+00   7.8945e-07   1.4754e-08  -5.9551e-08   8.1497e-09   1.1644e-09   1.1644e-09   1.4399e+12   1.4399e+12
  6.1138e+01   6.2042e+01   4.1240e+00   7.2290e-07   1.0335e-08  -8.1178e-08   1.9127e-08   9.2983e-10   9.2983e-10   2.2580e+12   2.2580e+12
  8.3604e+01   8.4641e+01   4.4346e+00   7.7176e-07   2.6797e-08  -6.4799e-08   1.1271e-08   7.7262e-10   7.7262e-10   3.2704e+12   3.2704e+12
  1.1433e+02   1.1605e+02   4.7501e+00   8.0546e-07   3.8575e-08  -5.1720e-08   2.2480e-09   6.4970e-10   6.4970e-10   4.6249e+12   4.6249e+12
  1.5634e+02   1.5917e+02   5.0662e+00   7.0561e-07   3.1171e-08  -5.6863e-08  -4.3442e-09   5.0168e-10   5.0168e-10   7.7566e+12   7.7566e+12
  2.1379e+02   2.1746e+02   5.3782e+00   6.9745e-07   2.4188e-08  -5.7826e-08  -1.9221e-09   3.8655e-10   3.8655e-10   1.3065e+13   1.3065e+13
