## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1948e-01  -2.1285e+00   1.2425e-05   2.7450e-06  -4.0378e-07  -1.1978e-06   7.0986e-07   7.0986e-07   1.1572e+06   1.1572e+06
  1.5991e-01   1.6316e-01  -1.8170e+00   1.4570e-05   8.6830e-07  -1.2154e-07   7.1486e-07   5.1354e-07   5.1354e-07   2.2110e+06   2.2110e+06
  2.1867e-01   2.2300e-01  -1.5045e+00   1.4034e-05  -2.5533e-07  -6.8588e-07  -2.5081e-07   3.7827e-07   3.7827e-07   4.0751e+06   4.0751e+06
  2.9903e-01   3.0500e-01  -1.1914e+00   1.4348e-05   4.4315e-07  -6.0434e-07  -2.8982e-07   2.7876e-07   2.7876e-07   7.5038e+06   7.5038e+06
  4.0891e-01   4.1700e-01  -8.7854e-01   1.3296e-05  -3.8555e-08   1.2359e-07   1.4674e-07   2.0566e-07   2.0566e-07   1.3787e+07   1.3787e+07
  5.5917e-01   5.7013e-01  -5.6569e-01   1.2478e-05  -1.3224e-07  -1.3625e-07  -8.8564e-08   1.5147e-07   1.5147e-07   2.5414e+07   2.5414e+07
  7.6465e-01   7.7950e-01  -2.5282e-01   1.1878e-05  -9.8995e-08  -1.1991e-07  -1.2376e-07   1.1199e-07   1.1199e-07   4.6493e+07   4.6493e+07
  1.0456e+00   1.0658e+00   6.0033e-02   1.0839e-05  -8.1928e-08  -8.8566e-08   1.1666e-07   8.3000e-08   8.3000e-08   8.4643e+07   8.4643e+07
  1.4299e+00   1.4577e+00   3.7322e-01   9.4931e-06   6.6395e-08  -2.1222e-07   2.6881e-08   6.1448e-08   6.1448e-08   1.5443e+08   1.5443e+08
  1.9553e+00   1.9935e+00   6.8628e-01   7.9064e-06   1.3027e-07  -1.4378e-07  -9.9237e-08   4.5382e-08   4.5382e-08   2.8313e+08   2.8313e+08
  2.6738e+00   2.7261e+00   9.9924e-01   6.3203e-06   1.2415e-07  -9.9720e-08  -2.2804e-08   3.3497e-08   3.3497e-08   5.1967e+08   5.1967e+08
  3.6564e+00   3.7278e+00   1.3122e+00   5.0296e-06   1.0009e-07  -1.6001e-07  -1.0747e-09   2.4757e-08   2.4757e-08   9.5133e+08   9.5133e+08
  5.0000e+00   5.0972e+00   1.6250e+00   4.3714e-06   1.4778e-07  -1.2556e-07   1.5213e-08   1.8321e-08   1.8321e-08   1.7371e+09   1.7371e+09
  6.8373e+00   6.9698e+00   1.9379e+00   4.3291e-06   2.2335e-07  -1.0337e-07   5.0768e-09   1.3581e-08   1.3581e-08   3.1612e+09   3.1612e+09
  9.3499e+00   9.5409e+00   2.2519e+00   4.2539e-06   1.4338e-07  -2.0118e-07  -2.5958e-09   1.0001e-08   1.0001e-08   5.8294e+09   5.8294e+09
  1.2786e+01   1.3027e+01   2.5633e+00   3.6958e-06   5.6276e-08  -3.3966e-07  -1.4789e-08   7.4308e-09   7.4308e-09   1.0560e+10   1.0560e+10
  1.7484e+01   1.7819e+01   2.8765e+00   2.9246e-06   6.0196e-08  -4.2754e-07  -3.1350e-08   5.5793e-09   5.5793e-09   1.8732e+10   1.8732e+10
  2.3909e+01   2.4332e+01   3.1881e+00   2.2332e-06   1.0124e-07  -5.0796e-07   1.1261e-08   4.2172e-09   4.2172e-09   3.2787e+10   3.2787e+10
  3.2695e+01   3.3252e+01   3.5004e+00   1.5426e-06   1.4952e-07  -4.8635e-07   2.1068e-08   3.2376e-09   3.2376e-09   5.5628e+10   5.5628e+10
  4.4709e+01   4.5404e+01   3.8119e+00   1.1093e-06   1.5696e-07  -3.8281e-07  -7.8236e-08   2.5483e-09   2.5483e-09   8.9791e+10   8.9791e+10
  6.1138e+01   6.1946e+01   4.1225e+00   9.8133e-07  -5.6057e-08  -1.2074e-07  -3.8719e-08   2.0856e-09   2.0856e-09   1.3406e+11   1.3406e+11
  8.3604e+01   8.4294e+01   4.4305e+00   8.6763e-07  -1.8747e-08  -2.5866e-07   2.4790e-07   1.8291e-09   1.8291e-09   1.7430e+11   1.7430e+11
  1.1433e+02   1.1566e+02   4.7467e+00   3.3431e-07   4.4742e-08  -1.1395e-07   1.6419e-07   1.6879e-09   1.6879e-09   2.0467e+11   2.0467e+11
  1.5634e+02   1.5922e+02   5.0665e+00   6.1297e-08  -7.4948e-09  -7.3956e-09   4.8323e-09   1.3199e-09   1.3199e-09   3.3469e+11   3.3469e+11
  2.1379e+02   2.1795e+02   5.3805e+00   6.2896e-08   4.3752e-09   3.3538e-09   2.9648e-09   9.9346e-10   9.9346e-10   5.9080e+11   5.9080e+11
