## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1930e-01  -2.1301e+00   7.9617e-06   7.4821e-07   1.4419e-07  -4.7822e-07   2.7075e-07   2.7075e-07   3.5461e+07   3.5461e+07
  1.5991e-01   1.6316e-01  -1.8170e+00   7.1067e-06  -1.6180e-07   4.5486e-07  -5.6631e-07   1.9817e-07   1.9817e-07   6.6196e+07   6.6196e+07
  2.1867e-01   2.2310e-01  -1.5041e+00   6.6048e-06  -5.1708e-08   7.0465e-08  -3.0095e-07   1.4545e-07   1.4545e-07   1.2287e+08   1.2287e+08
  2.9903e-01   3.0506e-01  -1.1912e+00   6.3402e-06  -6.1318e-08   7.7955e-08  -1.9036e-07   1.0686e-07   1.0686e-07   2.2766e+08   2.2766e+08
  4.0891e-01   4.1714e-01  -8.7821e-01   6.1893e-06  -5.6290e-08  -8.2894e-11   9.5344e-09   7.8417e-08   7.8417e-08   4.2273e+08   4.2273e+08
  5.5917e-01   5.7039e-01  -5.6525e-01   5.4868e-06   1.0952e-07  -2.2027e-07   3.6379e-08   5.7523e-08   5.7523e-08   7.8561e+08   7.8561e+08
  7.6465e-01   7.7990e-01  -2.5236e-01   5.0101e-06   2.3390e-08  -1.6586e-07   8.7319e-08   4.2263e-08   4.2263e-08   1.4554e+09   1.4554e+09
  1.0456e+00   1.0664e+00   6.0521e-02   4.4323e-06   9.8902e-09  -2.6255e-08  -2.5321e-08   3.1073e-08   3.1073e-08   2.6923e+09   2.6923e+09
  1.4299e+00   1.4581e+00   3.7340e-01   3.8915e-06   9.3204e-08  -4.8187e-08  -3.8459e-08   2.2895e-08   2.2895e-08   4.9594e+09   4.9594e+09
  1.9553e+00   1.9938e+00   6.8631e-01   3.1061e-06   3.9998e-08  -8.3553e-08  -2.1797e-08   1.6885e-08   1.6885e-08   9.1182e+09   9.1182e+09
  2.6738e+00   2.7266e+00   9.9933e-01   2.2091e-06   9.3138e-08  -9.9249e-08  -3.5299e-09   1.2450e-08   1.2450e-08   1.6771e+10   1.6771e+10
  3.6564e+00   3.7283e+00   1.3122e+00   1.3685e-06   1.0576e-07  -6.6826e-08  -4.2421e-09   9.1779e-09   9.1779e-09   3.0860e+10   3.0860e+10
  5.0000e+00   5.0979e+00   1.6251e+00   8.4203e-07   1.7847e-07  -3.3889e-08  -7.5323e-09   6.7795e-09   6.7795e-09   5.6559e+10   5.6559e+10
  6.8373e+00   6.9706e+00   1.9380e+00   7.7639e-07   1.4524e-07   2.0455e-09   2.0006e-08   5.0150e-09   5.0150e-09   1.0336e+11   1.0336e+11
  9.3499e+00   9.5374e+00   2.2515e+00   8.8557e-07   8.2354e-08   1.4049e-09   2.3409e-08   3.6946e-09   3.6946e-09   1.9044e+11   1.9044e+11
  1.2786e+01   1.3028e+01   2.5633e+00   8.3671e-07   1.4333e-08  -4.6655e-09  -9.5531e-09   2.7432e-09   2.7432e-09   3.4545e+11   3.4545e+11
  1.7484e+01   1.7817e+01   2.8764e+00   6.0511e-07   6.1706e-09  -1.2265e-10   5.0860e-09   2.0571e-09   2.0571e-09   6.1427e+11   6.1427e+11
  2.3909e+01   2.4338e+01   3.1883e+00   4.1164e-07   1.1349e-08   3.2564e-09   4.0174e-09   1.5517e-09   1.5517e-09   1.0797e+12   1.0797e+12
  3.2695e+01   3.3260e+01   3.5006e+00   2.5865e-07   2.5479e-09   5.1533e-09  -3.7808e-09   1.1863e-09   1.1863e-09   1.8471e+12   1.8471e+12
  4.4709e+01   4.5427e+01   3.8123e+00   1.8848e-07  -9.9466e-10   6.4770e-09  -3.9719e-09   9.2691e-10   9.2691e-10   3.0256e+12   3.0256e+12
  6.1138e+01   6.2013e+01   4.1235e+00   1.7950e-07  -1.4665e-08  -3.7324e-09   4.2032e-09   7.4739e-10   7.4739e-10   4.6537e+12   4.6537e+12
  8.3604e+01   8.4683e+01   4.4351e+00   1.7455e-07  -2.5022e-08  -3.1159e-08   5.0872e-09   6.2239e-10   6.2239e-10   6.7107e+12   6.7107e+12
  1.1433e+02   1.1653e+02   4.7543e+00   1.6907e-07   3.3673e-08   1.6052e-08  -3.6557e-08   5.0101e-10   5.0101e-10   1.0356e+13   1.0356e+13
  1.5634e+02   1.5884e+02   5.0641e+00   1.1352e-07   4.8873e-09  -2.6809e-09  -7.1555e-09   3.7838e-10   3.7838e-10   1.8157e+13   1.8157e+13
  2.1379e+02   2.1692e+02   5.3756e+00   1.0417e-07  -5.1627e-09   1.4665e-08   5.0535e-10   3.1152e-10   3.1152e-10   2.6787e+13   2.6787e+13
