## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1930e-01  -2.1299e+00  -1.7214e-04   4.7956e-06   4.8931e-05   2.7896e-05   8.3201e-08   8.3201e-08   6.7835e+08   6.7835e+08
  1.5991e-01   1.6266e-01  -1.8201e+00  -1.4208e-04   6.0221e-06   3.2544e-05  -9.2820e-06   6.0568e-08   6.0568e-08   1.2800e+09   1.2800e+09
  2.1867e-01   2.2328e-01  -1.5034e+00  -1.5590e-04  -2.0158e-05   2.7202e-05  -7.6658e-06   4.3683e-08   4.3683e-08   2.4609e+09   2.4609e+09
  2.9903e-01   3.0568e-01  -1.1892e+00  -1.4330e-04   5.1824e-06   3.2441e-05   3.3538e-06   3.2232e-08   3.2232e-08   4.5200e+09   4.5200e+09
  4.0891e-01   4.1635e-01  -8.8021e-01  -1.6796e-04   3.7323e-06   3.4938e-05   7.5703e-06   2.3729e-08   2.3729e-08   8.3396e+09   8.3396e+09
  5.5917e-01   5.7029e-01  -5.6558e-01  -1.6808e-04   8.6502e-07   2.7690e-05   1.4626e-06   1.7504e-08   1.7504e-08   1.5326e+10   1.5326e+10
  7.6465e-01   7.7921e-01  -2.5336e-01  -1.6408e-04   1.8791e-06   3.3113e-05  -9.7596e-07   1.2861e-08   1.2861e-08   2.8390e+10   2.8390e+10
  1.0456e+00   1.0660e+00   6.0042e-02  -1.6187e-04   7.6570e-07   3.0632e-05  -5.5380e-08   9.5931e-09   9.5931e-09   5.1026e+10   5.1026e+10
  1.4299e+00   1.4595e+00   3.7427e-01  -1.6345e-04  -1.3235e-06   3.0305e-05  -9.1772e-07   7.1106e-09   7.1106e-09   9.2875e+10   9.2875e+10
  1.9553e+00   1.9932e+00   6.8597e-01  -1.6041e-04   2.9803e-06   2.7647e-05  -7.1177e-07   5.2654e-09   5.2654e-09   1.6938e+11   1.6938e+11
  2.6738e+00   2.7260e+00   9.9906e-01  -1.6262e-04   1.5895e-06   2.7879e-05  -7.3856e-07   3.8909e-09   3.8909e-09   3.1017e+11   3.1017e+11
  3.6564e+00   3.7284e+00   1.3122e+00  -1.6066e-04   1.2995e-06   2.8352e-05  -3.3189e-07   2.8867e-09   2.8867e-09   5.6352e+11   5.6352e+11
  5.0000e+00   5.0963e+00   1.6247e+00  -1.5711e-04   4.5499e-07   2.6303e-05  -6.4651e-07   2.1398e-09   2.1398e-09   1.0256e+12   1.0256e+12
  6.8373e+00   6.9686e+00   1.9376e+00  -1.5712e-04   1.7622e-06   2.5119e-05  -3.4292e-08   1.5908e-09   1.5908e-09   1.8556e+12   1.8556e+12
  9.3499e+00   9.5436e+00   2.2521e+00  -1.5527e-04   1.4488e-06   2.4746e-05  -1.3041e-06   1.1739e-09   1.1739e-09   3.4076e+12   3.4076e+12
  1.2786e+01   1.3024e+01   2.5630e+00  -1.5399e-04  -1.9808e-06   2.4989e-05  -2.9612e-07   8.7452e-10   8.7452e-10   6.1400e+12   6.1400e+12
  1.7484e+01   1.7814e+01   2.8762e+00  -1.5122e-04  -1.2549e-06   2.4085e-05  -5.2533e-07   6.6065e-10   6.6065e-10   1.0759e+13   1.0759e+13
  2.3909e+01   2.4314e+01   3.1873e+00  -1.4887e-04  -8.5842e-07   2.1834e-05  -1.4907e-06   5.0387e-10   5.0387e-10   1.8495e+13   1.8495e+13
  3.2695e+01   3.3213e+01   3.4992e+00  -1.4445e-04  -6.3706e-07   1.8748e-05  -7.0927e-07   3.9296e-10   3.9296e-10   3.0410e+13   3.0410e+13
  4.4709e+01   4.5305e+01   3.8096e+00  -1.4031e-04  -1.1468e-06   1.6774e-05   3.0898e-08   3.1907e-10   3.1907e-10   4.6124e+13   4.6124e+13
  6.1138e+01   6.1607e+01   4.1170e+00  -1.3348e-04  -3.3162e-06   1.7278e-05   9.6360e-08   2.8061e-10   2.8061e-10   5.9634e+13   5.9634e+13
  8.3604e+01   8.2840e+01   4.4132e+00  -1.2691e-04  -1.5378e-05   1.5753e-05  -5.1945e-06   2.9766e-10   2.9766e-10   5.2997e+13   5.2997e+13
  1.1433e+02   1.0691e+02   4.6695e+00  -1.0228e-04  -4.2892e-05   2.0039e-05  -1.9200e-05   5.9373e-10   5.9373e-10   1.3321e+13   1.3321e+13
  1.5634e+02   1.5752e+02   5.0558e+00   8.4383e-07  -2.9496e-06   2.2196e-06  -2.3881e-07   1.1365e-09   1.1365e-09   3.6355e+12   3.6355e+12
  2.1379e+02   2.1480e+02   5.3657e+00  -2.4066e-06  -2.0156e-06   2.4618e-06   1.0977e-06   1.1464e-09   1.1464e-09   3.5732e+12   3.5732e+12
