## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1912e-01  -2.1316e+00  -9.0900e-05   6.9497e-06   2.1729e-05   7.7519e-06   5.4042e-07   5.4042e-07   6.0773e+06   6.0773e+06
  1.5991e-01   1.6289e-01  -1.8187e+00  -8.1298e-05   5.9867e-06   2.1459e-05   9.0751e-07   3.9437e-07   3.9437e-07   1.1412e+07   1.1412e+07
  2.1867e-01   2.2272e-01  -1.5058e+00  -8.7604e-05  -3.6691e-06   1.8708e-05  -3.5468e-06   2.8675e-07   2.8675e-07   2.1586e+07   2.1586e+07
  2.9903e-01   3.0578e-01  -1.1888e+00  -8.3078e-05   5.4355e-06   2.2037e-05   3.5903e-06   2.0980e-07   2.0980e-07   4.0325e+07   4.0325e+07
  4.0891e-01   4.1672e-01  -8.7928e-01  -8.6427e-05   1.9050e-06   2.0369e-05   1.0799e-06   1.5426e-07   1.5426e-07   7.4584e+07   7.4584e+07
  5.5917e-01   5.7036e-01  -5.6536e-01  -8.8991e-05   9.6005e-07   2.0086e-05  -8.7225e-07   1.1377e-07   1.1377e-07   1.3712e+08   1.3712e+08
  7.6465e-01   7.7904e-01  -2.5351e-01  -8.7369e-05   1.3222e-06   1.9790e-05   8.7174e-07   8.4205e-08   8.4205e-08   2.5032e+08   2.5032e+08
  1.0456e+00   1.0658e+00   5.9975e-02  -8.6616e-05   2.2101e-07   1.9941e-05  -2.1013e-07   6.2705e-08   6.2705e-08   4.5140e+08   4.5140e+08
  1.4299e+00   1.4580e+00   3.7335e-01  -8.6930e-05  -7.4916e-08   1.9499e-05   3.4948e-07   4.6570e-08   4.6570e-08   8.1838e+08   8.1838e+08
  1.9553e+00   1.9936e+00   6.8631e-01  -8.5983e-05   1.0362e-06   1.8919e-05  -2.1338e-07   3.4425e-08   3.4425e-08   1.4977e+09   1.4977e+09
  2.6738e+00   2.7259e+00   9.9915e-01  -8.5511e-05   4.3579e-07   1.8958e-05  -1.8881e-07   2.5406e-08   2.5406e-08   2.7498e+09   2.7498e+09
  3.6564e+00   3.7273e+00   1.3120e+00  -8.3923e-05   6.5606e-07   1.8617e-05   1.3994e-07   1.8817e-08   1.8817e-08   5.0127e+09   5.0127e+09
  5.0000e+00   5.0965e+00   1.6249e+00  -8.1925e-05   2.7106e-07   1.7904e-05  -1.8485e-07   1.3953e-08   1.3953e-08   9.1163e+09   9.1163e+09
  6.8373e+00   6.9697e+00   1.9379e+00  -8.0314e-05   5.8112e-07   1.7373e-05   1.2903e-09   1.0359e-08   1.0359e-08   1.6539e+10   1.6539e+10
  9.3499e+00   9.5426e+00   2.2521e+00  -7.7638e-05   2.1579e-07   1.7109e-05  -3.1889e-07   7.6373e-09   7.6373e-09   3.0430e+10   3.0430e+10
  1.2786e+01   1.3024e+01   2.5631e+00  -7.5228e-05  -8.8486e-07   1.6771e-05  -6.1155e-08   5.6881e-09   5.6881e-09   5.4859e+10   5.4859e+10
  1.7484e+01   1.7817e+01   2.8764e+00  -7.1091e-05  -9.5788e-07   1.5597e-05  -4.3338e-07   4.2885e-09   4.2885e-09   9.6506e+10   9.6506e+10
  2.3909e+01   2.4321e+01   3.1876e+00  -6.6872e-05  -1.5006e-06   1.4663e-05  -6.2954e-07   3.2568e-09   3.2568e-09   1.6733e+11   1.6733e+11
  3.2695e+01   3.3237e+01   3.4999e+00  -6.0562e-05  -2.3941e-06   1.3578e-05  -3.8431e-07   2.5170e-09   2.5170e-09   2.8016e+11   2.8016e+11
  4.4709e+01   4.5369e+01   3.8111e+00  -5.3611e-05  -3.6899e-06   1.3492e-05  -6.4967e-07   2.0024e-09   2.0024e-09   4.4268e+11   4.4268e+11
  6.1138e+01   6.1853e+01   4.1210e+00  -4.5287e-05  -5.1192e-06   1.4137e-05  -1.0876e-06   1.6745e-09   1.6745e-09   6.3297e+11   6.3297e+11
  8.3604e+01   8.4113e+01   4.4284e+00  -4.1972e-05  -7.8270e-06   1.5643e-05  -2.1293e-06   1.5200e-09   1.5200e-09   7.6818e+11   7.6818e+11
  1.1433e+02   1.1581e+02   4.7480e+00  -4.8446e-05   7.0577e-06   2.0523e-05  -1.5142e-06   1.4297e-09   1.4297e-09   8.6831e+11   8.6831e+11
  1.5634e+02   1.5817e+02   5.0599e+00  -4.3227e-05   1.7883e-05   2.0239e-05   6.3861e-06   1.1554e-09   1.1554e-09   1.3295e+12   1.3295e+12
  2.1379e+02   2.1439e+02   5.3639e+00  -2.3320e-05   5.6920e-06   9.4417e-06   8.5732e-06   1.1047e-09   1.1047e-09   1.4545e+12   1.4545e+12
