## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1930e-01  -2.1301e+00   5.8523e-06   1.0662e-07   5.7310e-06  -6.3841e-07   1.2365e-07   1.2365e-07   1.4915e+08   1.4915e+08
  1.5991e-01   1.6315e-01  -1.8170e+00   6.1308e-06  -2.3284e-07   6.1283e-06   3.2076e-07   9.0622e-08   9.0622e-08   2.7767e+08   2.7767e+08
  2.1867e-01   2.2306e-01  -1.5043e+00   6.4703e-06  -2.1252e-07   6.1027e-06  -1.3489e-07   6.6683e-08   6.6683e-08   5.1283e+08   5.1283e+08
  2.9903e-01   3.0506e-01  -1.1912e+00   6.5423e-06   2.9195e-08   5.8224e-06   7.2456e-09   4.8971e-08   4.8971e-08   9.5086e+08   9.5086e+08
  4.0891e-01   4.1715e-01  -8.7818e-01   6.9722e-06   1.5296e-07   5.8215e-06  -5.4957e-08   3.5923e-08   3.5923e-08   1.7670e+09   1.7670e+09
  5.5917e-01   5.7037e-01  -5.6527e-01   7.0815e-06   4.6599e-08   5.8725e-06  -1.6005e-07   2.6345e-08   2.6345e-08   3.2854e+09   3.2854e+09
  7.6465e-01   7.7990e-01  -2.5234e-01   7.1519e-06  -5.5823e-09   5.7077e-06   6.3309e-10   1.9341e-08   1.9341e-08   6.0958e+09   6.0958e+09
  1.0456e+00   1.0664e+00   6.0589e-02   7.2403e-06  -1.3531e-08   5.8475e-06   2.9210e-08   1.4203e-08   1.4203e-08   1.1305e+10   1.1305e+10
  1.4299e+00   1.4583e+00   3.7353e-01   7.2428e-06   6.5618e-08   5.8917e-06   2.8234e-08   1.0440e-08   1.0440e-08   2.0923e+10   2.0923e+10
  1.9553e+00   1.9941e+00   6.8647e-01   7.1744e-06   6.8189e-08   5.9731e-06   3.1333e-09   7.6783e-09   7.6783e-09   3.8678e+10   3.8678e+10
  2.6738e+00   2.7269e+00   9.9944e-01   7.0784e-06   5.4879e-08   6.0292e-06  -2.1105e-08   5.6470e-09   5.6470e-09   7.1509e+10   7.1509e+10
  3.6564e+00   3.7288e+00   1.3124e+00   6.9122e-06   6.3882e-08   6.1346e-06  -1.1145e-08   4.1539e-09   4.1539e-09   1.3215e+11   1.3215e+11
  5.0000e+00   5.0987e+00   1.6253e+00   6.5481e-06   5.0072e-08   6.2629e-06  -1.7204e-08   3.0595e-09   3.0595e-09   2.4361e+11   2.4361e+11
  6.8373e+00   6.9717e+00   1.9381e+00   6.1214e-06   3.5955e-08   6.3831e-06  -4.2388e-08   2.2567e-09   2.2567e-09   4.4775e+11   4.4775e+11
  9.3499e+00   9.5367e+00   2.2514e+00   5.7379e-06   2.7043e-08   6.4028e-06  -3.3474e-08   1.6612e-09   1.6612e-09   8.2628e+11   8.2628e+11
  1.2786e+01   1.3031e+01   2.5636e+00   5.4411e-06   2.1716e-08   6.3322e-06  -3.4533e-08   1.2302e-09   1.2302e-09   1.5066e+12   1.5066e+12
  1.7484e+01   1.7819e+01   2.8765e+00   4.9365e-06   7.7370e-08   6.2553e-06  -2.8115e-08   9.1848e-10   9.1848e-10   2.7030e+12   2.7030e+12
  2.3909e+01   2.4346e+01   3.1886e+00   3.9685e-06   3.2794e-08   6.1091e-06  -1.2911e-08   6.9035e-10   6.9035e-10   4.7847e+12   4.7847e+12
  3.2695e+01   3.3269e+01   3.5009e+00   2.8869e-06   4.3292e-08   5.7701e-06   4.2778e-08   5.2573e-10   5.2573e-10   8.2504e+12   8.2504e+12
  4.4709e+01   4.5439e+01   3.8126e+00   1.9804e-06  -2.9182e-08   5.2228e-06   1.8365e-07   4.0889e-10   4.0889e-10   1.3639e+13   1.3639e+13
  6.1138e+01   6.2028e+01   4.1238e+00   1.8922e-06  -1.3037e-07   4.8946e-06   3.2304e-07   3.2787e-10   3.2787e-10   2.1212e+13   2.1212e+13
  8.3604e+01   8.4645e+01   4.4346e+00   2.8025e-06  -2.4554e-07   5.4467e-06   5.7207e-07   2.7331e-10   2.7331e-10   3.0528e+13   3.0528e+13
  1.1433e+02   1.1621e+02   4.7515e+00   2.9538e-06  -1.4141e-07   6.0045e-06   6.3975e-08   2.2676e-10   2.2676e-10   4.4347e+13   4.4347e+13
  1.5634e+02   1.5882e+02   5.0640e+00   1.2643e-06  -6.6329e-08   5.6352e-06  -3.1013e-07   1.7632e-10   1.7632e-10   7.3350e+13   7.3350e+13
  2.1379e+02   2.1684e+02   5.3753e+00   1.2239e-06  -2.5475e-07   5.8893e-06   8.2141e-08   1.4441e-10   1.4441e-10   1.0935e+14   1.0935e+14
