## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1946e-01  -2.1287e+00   1.0111e-05   1.6444e-06   1.1273e-05   8.1826e-08   2.2856e-07   2.2856e-07   4.8189e+07   4.8189e+07
  1.5991e-01   1.6318e-01  -1.8169e+00   7.6367e-06   6.0933e-07   1.1151e-05  -6.7575e-07   1.6642e-07   1.6642e-07   9.0894e+07   9.0894e+07
  2.1867e-01   2.2302e-01  -1.5045e+00   7.9698e-06   1.0815e-07   9.8506e-06  -2.4180e-07   1.2219e-07   1.2219e-07   1.6862e+08   1.6862e+08
  2.9903e-01   3.0502e-01  -1.1913e+00   8.2039e-06   6.1737e-07   1.1017e-05   3.7623e-07   8.9836e-08   8.9836e-08   3.1194e+08   3.1194e+08
  4.0891e-01   4.1709e-01  -8.7836e-01   8.0967e-06  -2.9994e-07   1.0840e-05   6.8334e-08   6.6002e-08   6.6002e-08   5.7790e+08   5.7790e+08
  5.5917e-01   5.7033e-01  -5.6538e-01   8.5131e-06   5.5235e-08   1.0611e-05   2.3694e-08   4.8523e-08   4.8523e-08   1.0692e+09   1.0692e+09
  7.6465e-01   7.7981e-01  -2.5250e-01   8.3547e-06   5.3422e-08   1.0552e-05   4.8614e-08   3.5704e-08   3.5704e-08   1.9749e+09   1.9749e+09
  1.0456e+00   1.0662e+00   6.0390e-02   8.4439e-06  -8.7626e-08   1.0595e-05  -4.4121e-08   2.6320e-08   2.6320e-08   3.6340e+09   3.6340e+09
  1.4299e+00   1.4580e+00   3.7334e-01   8.2978e-06   6.0927e-08   1.0651e-05   1.1833e-07   1.9421e-08   1.9421e-08   6.6744e+09   6.6744e+09
  1.9553e+00   1.9938e+00   6.8632e-01   8.1804e-06   8.6679e-08   1.0796e-05   1.4525e-07   1.4327e-08   1.4327e-08   1.2265e+10   1.2265e+10
  2.6738e+00   2.7265e+00   9.9930e-01   8.0897e-06   6.0233e-08   1.1043e-05   1.1846e-07   1.0567e-08   1.0567e-08   2.2547e+10   2.2547e+10
  3.6564e+00   3.7283e+00   1.3122e+00   7.9572e-06  -1.6775e-08   1.0951e-05   9.0935e-08   7.7934e-09   7.7934e-09   4.1448e+10   4.1448e+10
  5.0000e+00   5.0981e+00   1.6251e+00   7.9226e-06  -5.4250e-09   1.0791e-05   1.2823e-07   5.7542e-09   5.7542e-09   7.6031e+10   7.6031e+10
  6.8373e+00   6.9709e+00   1.9380e+00   7.7860e-06   1.2971e-07   1.0736e-05   1.0079e-08   4.2534e-09   4.2534e-09   1.3916e+11   1.3916e+11
  9.3499e+00   9.5398e+00   2.2518e+00   7.8898e-06  -6.1898e-08   1.0667e-05   4.4013e-08   3.1268e-09   3.1268e-09   2.5749e+11   2.5749e+11
  1.2786e+01   1.3030e+01   2.5635e+00   7.8910e-06  -6.6677e-08   1.0713e-05  -5.6311e-08   2.3140e-09   2.3140e-09   4.7017e+11   4.7017e+11
  1.7484e+01   1.7823e+01   2.8767e+00   7.8442e-06   4.0044e-08   1.0662e-05  -8.1446e-08   1.7263e-09   1.7263e-09   8.4472e+11   8.4472e+11
  2.3909e+01   2.4347e+01   3.1886e+00   7.4803e-06   8.1531e-09   1.0442e-05  -2.2878e-07   1.2939e-09   1.2939e-09   1.5037e+12   1.5037e+12
  3.2695e+01   3.3278e+01   3.5011e+00   7.1799e-06  -2.2854e-08   1.0034e-05  -1.4849e-07   9.8030e-10   9.8030e-10   2.6196e+12   2.6196e+12
  4.4709e+01   4.5462e+01   3.8131e+00   6.8610e-06  -1.0827e-07   9.6436e-06  -5.7976e-08   7.5615e-10   7.5615e-10   4.4029e+12   4.4029e+12
  6.1138e+01   6.2070e+01   4.1245e+00   6.2709e-06  -1.2074e-07   9.5103e-06   1.1766e-07   5.9973e-10   5.9973e-10   6.9993e+12   6.9993e+12
  8.3604e+01   8.4705e+01   4.4354e+00   5.4507e-06   2.3654e-07   1.0077e-05  -6.9784e-08   4.9262e-10   4.9262e-10   1.0374e+13   1.0374e+13
  1.1433e+02   1.1608e+02   4.7504e+00   3.9140e-06   5.8516e-07   1.1087e-05  -1.5244e-07   4.0883e-10   4.0883e-10   1.5062e+13   1.5062e+13
  1.5634e+02   1.5915e+02   5.0660e+00   3.3160e-06   8.8382e-07   1.0515e-05  -3.4059e-07   3.1614e-10   3.1614e-10   2.5189e+13   2.5189e+13
  2.1379e+02   2.1742e+02   5.3780e+00   2.8103e-06   6.4529e-07   1.0790e-05  -2.5748e-07   2.4421e-10   2.4421e-10   4.2212e+13   4.2212e+13
