## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.1694e-01   1.1933e-01  -2.1298e+00  -8.8967e-06  -8.2709e-07  -7.1933e-07   6.8640e-08   4.7664e-07   4.7664e-07   3.6612e+06   3.6612e+06
  1.5991e-01   1.6312e-01  -1.8173e+00  -1.6220e-05  -8.3907e-07  -1.0132e-06   2.4134e-07   3.4947e-07   3.4947e-07   6.8107e+06   6.8107e+06
  2.1867e-01   2.2304e-01  -1.5044e+00  -1.6945e-05   1.1212e-07  -2.8588e-07   1.8427e-07   2.5735e-07   2.5735e-07   1.2559e+07   1.2559e+07
  2.9903e-01   3.0499e-01  -1.1914e+00  -1.7465e-05  -1.5146e-07  -5.7426e-07  -6.9679e-08   1.8949e-07   1.8949e-07   2.3166e+07   2.3166e+07
  4.0891e-01   4.1703e-01  -8.7842e-01  -1.6785e-05  -1.6690e-07  -3.9209e-07   5.5082e-09   1.3946e-07   1.3946e-07   4.2769e+07   4.2769e+07
  5.5917e-01   5.7013e-01  -5.6562e-01  -1.6705e-05  -8.5376e-08  -3.2011e-07  -8.0183e-08   1.0277e-07   1.0277e-07   7.8758e+07   7.8758e+07
  7.6465e-01   7.7946e-01  -2.5281e-01  -1.6468e-05  -3.9745e-08  -4.9000e-07   1.3699e-07   7.5900e-08   7.5900e-08   1.4439e+08   1.4439e+08
  1.0456e+00   1.0658e+00   6.0094e-02  -1.6083e-05   5.7829e-08  -5.7708e-07   2.8003e-08   5.6207e-08   5.6207e-08   2.6329e+08   2.6329e+08
  1.4299e+00   1.4577e+00   3.7324e-01  -1.5590e-05   1.5797e-07  -5.5312e-07   3.2411e-08   4.1592e-08   4.1592e-08   4.8082e+08   4.8082e+08
  1.9553e+00   1.9935e+00   6.8628e-01  -1.5134e-05   7.6804e-08  -5.5743e-07   1.2534e-07   3.0711e-08   3.0711e-08   8.8187e+08   8.8187e+08
  2.6738e+00   2.7260e+00   9.9925e-01  -1.4679e-05   1.0161e-07  -5.9160e-07   1.1585e-07   2.2673e-08   2.2673e-08   1.6180e+09   1.6180e+09
  3.6564e+00   3.7278e+00   1.3122e+00  -1.4264e-05   1.2372e-07  -5.8910e-07   4.6473e-08   1.6750e-08   1.6750e-08   2.9647e+09   2.9647e+09
  5.0000e+00   5.0973e+00   1.6251e+00  -1.4038e-05   8.8991e-08  -5.8342e-07   4.8204e-08   1.2390e-08   1.2390e-08   5.4183e+09   5.4183e+09
  6.8373e+00   6.9700e+00   1.9380e+00  -1.3703e-05   1.0055e-07  -4.8344e-07   7.2399e-08   9.1798e-09   9.1798e-09   9.8705e+09   9.8705e+09
  9.3499e+00   9.5410e+00   2.2520e+00  -1.3064e-05   1.2944e-07  -3.2360e-07   3.8874e-08   6.7544e-09   6.7544e-09   1.8232e+10   1.8232e+10
  1.2786e+01   1.3027e+01   2.5634e+00  -1.1944e-05  -2.4157e-08  -3.6295e-07  -1.1090e-07   5.0141e-09   5.0141e-09   3.3083e+10   3.3083e+10
  1.7484e+01   1.7819e+01   2.8766e+00  -1.0440e-05  -6.7368e-08  -3.7713e-07  -1.5969e-07   3.7616e-09   3.7616e-09   5.8784e+10   5.8784e+10
  2.3909e+01   2.4334e+01   3.1882e+00  -8.9296e-06  -1.4934e-07  -2.6131e-07  -1.8054e-07   2.8399e-09   2.8399e-09   1.0313e+11   1.0313e+11
  3.2695e+01   3.3255e+01   3.5005e+00  -7.1101e-06  -1.9662e-07  -3.2682e-07  -1.7528e-07   2.1764e-09   2.1764e-09   1.7559e+11   1.7559e+11
  4.4709e+01   4.5411e+01   3.8120e+00  -5.6639e-06  -2.5595e-07  -3.4747e-07  -1.7679e-07   1.7092e-09   1.7092e-09   2.8473e+11   2.8473e+11
  6.1138e+01   6.1951e+01   4.1226e+00  -5.2680e-06  -3.6731e-07  -4.4460e-07  -2.3154e-08   1.3962e-09   1.3962e-09   4.2671e+11   4.2671e+11
  8.3604e+01   8.4372e+01   4.4314e+00  -5.7739e-06  -7.0976e-07  -7.3801e-07   8.6177e-08   1.2137e-09   1.2137e-09   5.6464e+11   5.6464e+11
  1.1433e+02   1.1588e+02   4.7486e+00  -2.0499e-06  -2.5422e-07  -4.3952e-07  -1.9462e-07   1.0875e-09   1.0875e-09   7.0329e+11   7.0329e+11
  1.5634e+02   1.5931e+02   5.0671e+00  -1.3343e-06  -3.1783e-07  -5.1645e-07  -4.1377e-07   8.3275e-10   8.3275e-10   1.1994e+12   1.1994e+12
  2.1379e+02   2.1775e+02   5.3796e+00  -1.8422e-06  -7.8622e-08  -7.1632e-07  -1.9267e-07   6.2917e-10   6.2917e-10   2.1012e+12   2.1012e+12
